run_id,configuration,model,node_count,target_tp,draft_tp,speculative_tokens,concurrency,repeat,request_id,prompt_id,started_at_utc,status_code,success,error,prompt_tokens,completion_tokens,ttft_s,latency_s,decode_s,request_output_tok_s
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,1,1,c1-r1-q1,0,2026-09-13T20:47:32.784975+00:00,200,True,,65,200,0.231768,5.749567,5.517799,34.785228
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,1,2,c1-r2-q1,1,2026-09-13T20:47:38.535749+00:00,200,True,,64,200,0.31424,7.867809,7.553569,25.420039
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,1,3,c1-r3-q1,2,2026-09-13T20:47:46.404539+00:00,200,True,,64,200,0.306912,5.142285,4.835373,38.893214
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,2,1,c2-r1-q1,0,2026-09-13T20:47:51.561265+00:00,200,True,,65,200,0.160452,6.893881,6.733429,29.011234
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,2,1,c2-r1-q2,1,2026-09-13T20:47:51.561549+00:00,200,True,,64,200,0.425919,7.76168,7.33576,25.767618
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,2,2,c2-r2-q1,2,2026-09-13T20:47:59.324411+00:00,200,True,,64,200,0.340672,5.944634,5.603962,33.643789
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,2,2,c2-r2-q2,3,2026-09-13T20:47:59.324614+00:00,200,True,,63,200,0.340276,7.140086,6.799811,28.010866
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,2,3,c2-r3-q1,4,2026-09-13T20:48:06.465766+00:00,200,True,,64,200,0.229052,7.778399,7.549347,25.712232
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,2,3,c2-r3-q2,5,2026-09-13T20:48:06.465923+00:00,200,True,,72,200,0.603008,7.954789,7.351781,25.142088
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,4,1,c4-r1-q3,2,2026-09-13T20:48:14.438236+00:00,200,True,,64,200,0.408427,7.282045,6.873618,27.464813
