run_id,configuration,model,node_count,target_tp,draft_tp,speculative_tokens,concurrency,repeat,request_id,prompt_id,started_at_utc,status_code,success,error,prompt_tokens,completion_tokens,ttft_s,latency_s,decode_s,request_output_tok_s
vanilla_qwen3.8_27b_tp4_no_spec_20260913T213109Z,vllm-0.20.1-vanilla-target-tp4,Qwen/Qwen3.8-27B,4,4,0,0,1,1,c1-r1-q1,0,2026-09-13T21:31:13.710285+00:00,200,True,,65,200,0.126708,14.90324,14.776532,13.419901
vanilla_qwen3.8_27b_tp4_no_spec_20260913T213109Z,vllm-0.20.1-vanilla-target-tp4,Qwen/Qwen3.8-27B,4,4,0,0,1,2,c1-r2-q1,1,2026-09-13T21:31:28.613999+00:00,200,True,,64,200,0.428495,15.185756,14.757261,13.170237
vanilla_qwen3.8_27b_tp4_no_spec_20260913T213109Z,vllm-0.20.1-vanilla-target-tp4,Qwen/Qwen3.8-27B,4,4,0,0,1,3,c1-r3-q1,2,2026-09-13T21:31:43.800290+00:00,200,True,,64,200,0.122743,14.807352,14.68461,13.506804
vanilla_qwen3.8_27b_tp4_no_spec_20260913T213109Z,vllm-0.20.1-vanilla-target-tp4,Qwen/Qwen3.8-27B,4,4,0,0,2,1,c2-r1-q2,1,2026-09-13T21:31:58.622154+00:00,200,True,,64,200,0.150945,14.493521,14.342576,13.799269
vanilla_qwen3.8_27b_tp4_no_spec_20260913T213109Z,vllm-0.20.1-vanilla-target-tp4,Qwen/Qwen3.8-27B,4,4,0,0,2,1,c2-r1-q1,0,2026-09-13T21:31:58.622072+00:00,200,True,,65,200,0.151103,14.493952,14.342849,13.798859
vanilla_qwen3.8_27b_tp4_no_spec_20260913T213109Z,vllm-0.20.1-vanilla-target-tp4,Qwen/Qwen3.8-27B,4,4,0,0,2,2,c2-r2-q2,3,2026-09-13T21:32:13.116747+00:00,200,True,,63,200,0.127021,14.621301,14.494279,13.678674
vanilla_qwen3.8_27b_tp4_no_spec_20260913T213109Z,vllm-0.20.1-vanilla-target-tp4,Qwen/Qwen3.8-27B,4,4,0,0,2,2,c2-r2-q1,2,2026-09-13T21:32:13.116639+00:00,200,True,,64,200,0.255028,14.695472,14.440445,13.609634
vanilla_qwen3.8_27b_tp4_no_spec_20260913T213109Z,vllm-0.20.1-vanilla-target-tp4,Qwen/Qwen3.8-27B,4,4,0,0,2,3,c2-r3-q1,4,2026-09-13T21:32:27.812841+00:00,200,True,,64,200,0.122107,14.560732,14.438625,13.735573
vanilla_qwen3.8_27b_tp4_no_spec_20260913T213109Z,vllm-0.20.1-vanilla-target-tp4,Qwen/Qwen3.8-27B,4,4,0,0,2,3,c2-r3-q2,5,2026-09-13T21:32:27.813256+00:00,200,True,,72,200,0.121514,14.560556,14.439042,13.735739
vanilla_qwen3.8_27b_tp4_no_spec_20260913T213109Z,vllm-0.20.1-vanilla-target-tp4,Qwen/Qwen3.8-27B,4,4,0,0,4,1,c4-r1-q2,1,2026-09-13T21:32:42.385344+00:00,200,True,,64,200,0.159772,14.902491,14.742719,13.420575
